23/11 15:39:00 FINE sim.Admin|Log for simulation 12 started
************************************************************
* Log for simulation 12 started
************************************************************


23/11 15:39:00 INFO sim.TACSCMSimulation|TACSCM Simulation 12 is setting up...
23/11 15:39:00 INFO sim.TACSCMSimulation|Created 8 suppliers
23/11 15:39:00 INFO sim.TACSCMSimulation|Created 1 customers
23/11 15:39:00 FINEST sim.Supplier|pintel produces components: 100, 101
23/11 15:39:00 FINE DefaultSupplier.pintel|Number of competing suppliers: 1
23/11 15:39:00 FINEST sim.Supplier|imd produces components: 110, 111
23/11 15:39:00 FINE DefaultSupplier.imd|Number of competing suppliers: 1
23/11 15:39:00 FINEST sim.Supplier|basus produces components: 200, 210
23/11 15:39:00 FINE DefaultSupplier.basus|Number of competing suppliers: 2
23/11 15:39:00 FINEST sim.Supplier|macrostar produces components: 200, 210
23/11 15:39:00 FINE DefaultSupplier.macrostar|Number of competing suppliers: 2
23/11 15:39:00 FINEST sim.Supplier|mec produces components: 300, 301
23/11 15:39:00 FINE DefaultSupplier.mec|Number of competing suppliers: 2
23/11 15:39:00 FINEST sim.Supplier|queenmax produces components: 300, 301
23/11 15:39:00 FINE DefaultSupplier.queenmax|Number of competing suppliers: 2
23/11 15:39:00 FINEST sim.Supplier|watergate produces components: 400, 401
23/11 15:39:00 FINE DefaultSupplier.watergate|Number of competing suppliers: 2
23/11 15:39:00 FINEST sim.Supplier|mintor produces components: 400, 401
23/11 15:39:00 FINE DefaultSupplier.mintor|Number of competing suppliers: 2
23/11 15:39:00 FINE sim.AbstractCustomer|customer setup
23/11 15:39:00 FINE sim.ExternalAgent|tester	 setup with address man1
23/11 15:39:00 FINE DummyManufacturer.Dummy|dummy Dummy simulationSetup
23/11 15:39:00 FINE DummyManufacturer.Dummy-2|dummy Dummy-2 simulationSetup
23/11 15:39:00 FINE DummyManufacturer.Dummy-3|dummy Dummy-3 simulationSetup
23/11 15:39:00 FINE DummyManufacturer.Dummy-4|dummy Dummy-4 simulationSetup
23/11 15:39:00 FINE DummyManufacturer.Dummy-5|dummy Dummy-5 simulationSetup
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to role 1: startInfo[12,1574523540000,3300000,15,[customer.daysBeforeVoid=5]]
23/11 15:39:00 FINEST sim.Simulation|***** START OF TIME 0 REQUESTED *****
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to pintel
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to pintel
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to imd
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to imd
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to basus
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to basus
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to macrostar
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to macrostar
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to mec
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to mec
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to queenmax
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to queenmax
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to watergate
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to watergate
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to mintor
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to mintor
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to role 2: startInfo[12,1574523540000,3300000,15,[customer.daysBeforeVoid=5]]
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering to customer
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to customer
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering Message[coordinator,man1,startInfo[12,1574523540000,3300000,15,[customer.daysBeforeVoid=5,factory.address=factory1,factory.capacity=2000,factory.storageCost=39,bank.interestRate=7,bank.depositInterestRate=3,manufacturer.count=6,manufacturer.1=tester	,manufacturer.2=Dummy,manufacturer.3=Dummy-2,manufacturer.4=Dummy-3,manufacturer.5=Dummy-4,manufacturer.6=Dummy-5]]]
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to man1
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering Message[coordinator,Dummy,startInfo[12,1574523540000,3300000,15,[customer.daysBeforeVoid=5,factory.address=factory2,factory.capacity=2000,factory.storageCost=39,bank.interestRate=7,bank.depositInterestRate=3,manufacturer.count=6,manufacturer.1=tester	,manufacturer.2=Dummy,manufacturer.3=Dummy-2,manufacturer.4=Dummy-3,manufacturer.5=Dummy-4,manufacturer.6=Dummy-5]]]
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to Dummy
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering Message[coordinator,Dummy-2,startInfo[12,1574523540000,3300000,15,[customer.daysBeforeVoid=5,factory.address=factory3,factory.capacity=2000,factory.storageCost=39,bank.interestRate=7,bank.depositInterestRate=3,manufacturer.count=6,manufacturer.1=tester	,manufacturer.2=Dummy,manufacturer.3=Dummy-2,manufacturer.4=Dummy-3,manufacturer.5=Dummy-4,manufacturer.6=Dummy-5]]]
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to Dummy-2
23/11 15:39:00 FINEST sim.MessageDispatcher|delivering Message[coordinator,Dummy-3,startInfo[12,1574523540000,3300000,15,[customer.daysBeforeVoid=5,factory.address=factory4,factory.capacity=2000,factory.storageCost=39,bank.interestRate=7,bank.depositInterestRate=3,manufacturer.count=6,manufacturer.1=tester	,manufacturer.2=Dummy,manufacturer.3=Dummy-2,manufacturer.4=Dummy-3,manufacturer.5=Dummy-4,manufacturer.6=Dummy-5]]]
23/11 15:39:00 FINEST sim.MessageDispatcher|delivered to Dummy-3
